"rating_start_d","count","sum"
"03.05.2025",44,177.000000
"04.05.2025",119,503.000000
"05.05.2025",180,731.000000
"06.05.2025",317,1124.000000
"07.05.2025",121,495.000000
"08.05.2025",221,853.000000
"09.05.2025",113,488.000000
"10.05.2025",94,397.000000
"11.05.2025",113,381.000000
"12.05.2025",264,1024.000000
"13.05.2025",320,904.000000
"14.05.2025",210,812.000000
"15.05.2025",306,1200.000000
"16.05.2025",260,995.000000
"17.05.2025",169,649.000000
"18.05.2025",128,499.000000
